Timestamp,Event Type,Assigned Spot
2025-08-27 08:20:37,EXIT,2:25
2025-08-27 08:20:38,EXIT,3:27
2025-08-27 08:20:39,EXIT,3:43
2025-08-27 08:20:40,EXIT,3:26
2025-08-27 08:20:41,EXIT,1:35
2025-08-27 08:20:42,EXIT,3:5
2025-08-27 08:20:43,EXIT,2:33
2025-08-27 08:20:44,EXIT,2:38
2025-08-27 08:20:45,ARRIVAL,2:12
2025-08-27 08:20:46,EXIT,3:16
2025-08-27 08:20:47,ARRIVAL,2:22
2025-08-27 08:20:48,EXIT,1:18
2025-08-27 08:20:49,EXIT,2:19
2025-08-27 08:20:50,EXIT,3:14
2025-08-27 08:20:51,EXIT,1:31
2025-08-27 08:20:52,EXIT,2:21
2025-08-27 08:20:53,ARRIVAL,3:50
2025-08-27 08:20:54,EXIT,2:22
2025-08-27 08:20:55,EXIT,2:4
2025-08-27 08:20:56,EXIT,2:31
2025-08-27 08:20:57,EXIT,2:1
2025-08-27 08:20:58,EXIT,2:34
2025-08-27 08:20:59,EXIT,1:33
2025-08-27 08:21:00,ARRIVAL,2:49
2025-08-27 08:21:01,ARRIVAL,2:3
2025-08-27 08:21:02,EXIT,3:48
2025-08-27 08:21:03,EXIT,2:3
2025-08-27 08:21:04,EXIT,1:41
2025-08-27 08:21:05,EXIT,1:2
2025-08-27 08:21:06,ARRIVAL,2:15
2025-08-27 08:21:07,EXIT,3:13
2025-08-27 08:21:08,EXIT,3:18
2025-08-27 08:21:09,EXIT,2:49
2025-08-27 08:21:10,EXIT,1:43
2025-08-27 08:21:11,EXIT,1:40
2025-08-27 08:21:12,EXIT,1:8
2025-08-27 08:21:13,EXIT,3:19
2025-08-27 08:21:14,ARRIVAL,2:9
2025-08-27 08:21:15,EXIT,2:11
2025-08-27 08:21:16,ARRIVAL,2:30
2025-08-27 08:21:17,EXIT,2:20
2025-08-27 08:21:18,EXIT,1:19
2025-08-27 08:21:19,ARRIVAL,1:49
2025-08-27 08:21:20,EXIT,2:15
2025-08-27 08:21:21,EXIT,3:50
2025-08-27 08:21:22,EXIT,2:41
2025-08-27 08:21:23,ARRIVAL,3:46
2025-08-27 08:21:24,EXIT,3:40
2025-08-27 08:21:25,EXIT,1:17
2025-08-27 08:21:26,EXIT,2:40
2025-08-27 08:21:27,EXIT,2:30
2025-08-27 08:21:28,EXIT,3:37
2025-08-27 08:21:29,EXIT,2:23
2025-08-27 08:21:30,EXIT,2:16
2025-08-27 08:21:31,EXIT,1:42
2025-08-27 08:21:32,EXIT,2:12
2025-08-27 08:21:33,EXIT,3:1
